RUN	SolrQueryTraffic	solrquerytraffic	1545814412295	 	3.0.1
REQUEST	67		Search	1545814496641	1545814500650	OK	 
USER	Users	67	END	1545814493013	1545814500683
REQUEST	53		Search	1545814495383	1545814500158	OK	 
USER	Users	53	END	1545814488971	1545814500727
USER	Users	82	START	1545814501013	1545814501013
USER	Users	83	START	1545814501979	1545814501979
USER	Users	84	START	1545814502003	1545814502003
REQUEST	80		Search	1545814500015	1545814502099	OK	 
USER	Users	85	START	1545814502504	1545814502504
USER	Users	86	START	1545814503139	1545814503139
REQUEST	78		Search	1545814499015	1545814503143	OK	 
USER	Users	87	START	1545814503515	1545814503515
REQUEST	81		Search	1545814500518	1545814503872	OK	 
REQUEST	79		Search	1545814499519	1545814503909	OK	 
REQUEST	55		Search	1545814498333	1545814503969	OK	 
USER	Users	55	END	1545814488972	1545814503980
USER	Users	88	START	1545814504004	1545814504004
REQUEST	72		Search	1545814496005	1545814503622	OK	 
REQUEST	29		Search	1545814469506	1545814499456	OK	 
USER	Users	89	START	1545814504503	1545814504503
USER	Users	90	START	1545814505014	1545814505014
REQUEST	83		Search	1545814501981	1545814506091	OK	 
REQUEST	84		Search	1545814502004	1545814506045	OK	 
REQUEST	32		Search	1545814473196	1545814503139	OK	 
USER	Users	32	END	1545814471513	1545814506841
REQUEST	80		Search	1545814502105	1545814506843	OK	 
USER	Users	80	END	1545814500014	1545814506861
REQUEST	79		Search	1545814503926	1545814507479	OK	 
USER	Users	79	END	1545814499514	1545814507482
REQUEST	87		Search	1545814503518	1545814507424	OK	 
REQUEST	88		Search	1545814504005	1545814508513	OK	 
REQUEST	89		Search	1545814504506	1545814509242	OK	 
REQUEST	76		Search	1545814498005	1545814507288	OK	 
REQUEST	64		Search	1545814498722	1545814507594	OK	 
USER	Users	64	END	1545814491526	1545814509939
REQUEST	22		Search	1545814464346	1545814482650	OK	 
REQUEST	6		Search	1545814450515	1545814510516	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	90		Search	1545814505025	1545814510809	OK	 
REQUEST	86		Search	1545814503141	1545814513035	OK	 
REQUEST	76		Search	1545814509564	1545814513214	OK	 
USER	Users	76	END	1545814498003	1545814513226
REQUEST	88		Search	1545814508565	1545814513321	OK	 
USER	Users	88	END	1545814504004	1545814513518
REQUEST	36		Search	1545814474016	1545814512808	OK	 
REQUEST	17		Search	1545814460646	1545814520649	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	17	END	1545814460503	1545814520664
REQUEST	36		Search	1545814515456	1545814524892	OK	 
USER	Users	36	END	1545814474014	1545814524941
REQUEST	85		Search	1545814502506	1545814525121	OK	 
REQUEST	25		Search	1545814466702	1545814526711	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	13		Search	1545814466811	1545814526812	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	13	END	1545814456513	1545814526814
REQUEST	27		Search	1545814467504	1545814527510	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	28		Search	1545814468580	1545814528580	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	86		Search	1545814513042	1545814528907	OK	 
USER	Users	86	END	1545814503139	1545814529051
REQUEST	21		Search	1545814463504	1545814529069	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	65		Search	1545814492090	1545814528661	OK	 
REQUEST	70		Search	1545814494514	1545814529386	OK	 
REQUEST	26		Search	1545814470650	1545814530651	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	26	END	1545814467004	1545814530668
REQUEST	56		Search	1545814488977	1545814530300	OK	 
REQUEST	85		Search	1545814526588	1545814531674	OK	 
USER	Users	85	END	1545814502504	1545814531692
REQUEST	33		Search	1545814472425	1545814532426	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	33	END	1545814472013	1545814532435
REQUEST	65		Search	1545814529877	1545814532549	OK	 
USER	Users	65	END	1545814492086	1545814532564
REQUEST	28		Search	1545814528590	1545814532753	OK	 
USER	Users	28	END	1545814468578	1545814532766
REQUEST	34		Search	1545814472972	1545814532972	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	34	END	1545814472513	1545814533093
REQUEST	27		Search	1545814527523	1545814533843	OK	 
USER	Users	27	END	1545814467503	1545814533892
REQUEST	70		Search	1545814529959	1545814534255	OK	 
USER	Users	70	END	1545814494513	1545814534270
REQUEST	45		Search	1545814480004	1545814531632	OK	 
REQUEST	40		Search	1545814476790	1545814531501	OK	 
USER	Users	40	END	1545814476520	1545814536028
REQUEST	56		Search	1545814531374	1545814536030	OK	 
USER	Users	56	END	1545814488972	1545814536032
REQUEST	39		Search	1545814477014	1545814537018	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	39	END	1545814476013	1545814537038
