RUN	SolrQueryTraffic	solrquerytraffic	1545769019568	 	3.0.1
USER	Users	34	START	1545769068885	1545769068885
USER	Users	35	START	1545769069385	1545769069385
REQUEST	35		Search	1545769069386	1545769069468	OK	 
REQUEST	16		Search	1545769060182	1545769068519	OK	 
USER	Users	16	END	1545769059875	1545769069642
USER	Users	36	START	1545769069886	1545769069886
USER	Users	37	START	1545769070385	1545769070385
USER	Users	38	START	1545769070886	1545769070886
REQUEST	26		Search	1545769066513	1545769070930	OK	 
USER	Users	26	END	1545769064885	1545769071179
REQUEST	23		Search	1545769063386	1545769070997	OK	 
REQUEST	28		Search	1545769065886	1545769071113	OK	 
USER	Users	39	START	1545769071385	1545769071385
REQUEST	23		Search	1545769071186	1545769071786	OK	 
USER	Users	23	END	1545769063385	1545769071791
USER	Users	40	START	1545769071884	1545769071884
USER	Users	41	START	1545769072385	1545769072385
REQUEST	36		Search	1545769069887	1545769072504	OK	 
REQUEST	28		Search	1545769071222	1545769072699	OK	 
USER	Users	28	END	1545769065885	1545769072721
USER	Users	42	START	1545769072884	1545769072884
REQUEST	39		Search	1545769071389	1545769072986	OK	 
REQUEST	27		Search	1545769065386	1545769072477	OK	 
REQUEST	22		Search	1545769063859	1545769072475	OK	 
USER	Users	22	END	1545769062886	1545769073295
USER	Users	43	START	1545769073390	1545769073390
USER	Users	44	START	1545769073887	1545769073887
USER	Users	45	START	1545769074385	1545769074385
REQUEST	43		Search	1545769073395	1545769074488	OK	 
REQUEST	25		Search	1545769064815	1545769074329	OK	 
USER	Users	25	END	1545769064384	1545769074868
USER	Users	46	START	1545769074886	1545769074886
REQUEST	17		Search	1545769060377	1545769073022	OK	 
REQUEST	36		Search	1545769072750	1545769075260	OK	 
USER	Users	36	END	1545769069886	1545769075304
USER	Users	47	START	1545769075395	1545769075395
USER	Users	48	START	1545769075876	1545769075876
USER	Users	49	START	1545769076374	1545769076374
USER	Users	50	START	1545769076875	1545769076875
REQUEST	42		Search	1545769072885	1545769076474	OK	 
USER	Users	51	START	1545769077375	1545769077375
USER	Users	52	START	1545769077889	1545769077889
REQUEST	40		Search	1545769071886	1545769077723	OK	 
USER	Users	53	START	1545769078386	1545769078386
REQUEST	32		Search	1545769068308	1545769077795	OK	 
REQUEST	20		Search	1545769061886	1545769077729	OK	 
USER	Users	54	START	1545769078898	1545769078898
REQUEST	27		Search	1545769073227	1545769078865	OK	 
USER	Users	27	END	1545769065385	1545769079245
REQUEST	49		Search	1545769076375	1545769079213	OK	 
USER	Users	55	START	1545769079385	1545769079385
USER	Users	56	START	1545769079886	1545769079886
REQUEST	48		Search	1545769075877	1545769080196	OK	 
USER	Users	57	START	1545769080385	1545769080385
REQUEST	52		Search	1545769077925	1545769080638	OK	 
REQUEST	49		Search	1545769079286	1545769080820	OK	 
USER	Users	49	END	1545769076374	1545769080823
REQUEST	50		Search	1545769076876	1545769080829	OK	 
USER	Users	58	START	1545769080885	1545769080885
REQUEST	40		Search	1545769078293	1545769080886	OK	 
USER	Users	40	END	1545769071884	1545769080893
USER	Users	59	START	1545769081397	1545769081397
REQUEST	56		Search	1545769079887	1545769081554	OK	 
REQUEST	54		Search	1545769078922	1545769081748	OK	 
USER	Users	60	START	1545769081874	1545769081874
REQUEST	55		Search	1545769079386	1545769081915	OK	 
REQUEST	32		Search	1545769078432	1545769082030	OK	 
USER	Users	32	END	1545769068307	1545769082051
USER	Users	61	START	1545769082375	1545769082375
REQUEST	37		Search	1545769070386	1545769082031	OK	 
USER	Users	62	START	1545769082885	1545769082885
USER	Users	63	START	1545769083384	1545769083384
USER	Users	64	START	1545769083887	1545769083887
USER	Users	65	START	1545769084385	1545769084385
USER	Users	66	START	1545769084885	1545769084885
USER	Users	67	START	1545769085384	1545769085384
USER	Users	68	START	1545769085887	1545769085887
USER	Users	69	START	1545769086387	1545769086387
USER	Users	70	START	1545769086886	1545769086886
USER	Users	71	START	1545769087385	1545769087385
USER	Users	72	START	1545769087886	1545769087886
REQUEST	9		Search	1545769056386	1545769079325	OK	 
USER	Users	73	START	1545769088385	1545769088385
USER	Users	74	START	1545769088885	1545769088885
USER	Users	75	START	1545769089386	1545769089386
USER	Users	76	START	1545769089886	1545769089886
USER	Users	77	START	1545769090385	1545769090385
USER	Users	78	START	1545769090885	1545769090885
USER	Users	79	START	1545769091385	1545769091385
USER	Users	80	START	1545769091884	1545769091884
USER	Users	81	START	1545769092386	1545769092386
REQUEST	54		Search	1545769081755	1545769092834	OK	 
USER	Users	54	END	1545769078898	1545769092837
REQUEST	55		Search	1545769081919	1545769092864	OK	 
USER	Users	55	END	1545769079385	1545769092866
USER	Users	82	START	1545769092886	1545769092886
USER	Users	83	START	1545769093385	1545769093385
REQUEST	58		Search	1545769080892	1545769093646	OK	 
USER	Users	84	START	1545769093897	1545769093897
USER	Users	85	START	1545769094386	1545769094386
USER	Users	86	START	1545769094885	1545769094885
REQUEST	57		Search	1545769080386	1545769095076	OK	 
REQUEST	56		Search	1545769081556	1545769095067	OK	 
USER	Users	56	END	1545769079886	1545769095116
USER	Users	87	START	1545769095489	1545769095489
USER	Users	88	START	1545769095875	1545769095875
REQUEST	43		Search	1545769074553	1545769094943	OK	 
USER	Users	43	END	1545769073390	1545769095902
REQUEST	64		Search	1545769083887	1545769095944	OK	 
REQUEST	9		Search	1545769088114	1545769096231	OK	 
USER	Users	9	END	1545769056385	1545769096235
REQUEST	65		Search	1545769084386	1545769096328	OK	 
REQUEST	80		Search	1545769091885	1545769096359	OK	 
REQUEST	79		Search	1545769091386	1545769096362	OK	 
USER	Users	89	START	1545769096375	1545769096375
REQUEST	76		Search	1545769089887	1545769096393	OK	 
REQUEST	84		Search	1545769093948	1545769096422	OK	 
REQUEST	73		Search	1545769088386	1545769096474	OK	 
USER	Users	90	START	1545769097054	1545769097054
REQUEST	52		Search	1545769080643	1545769097054	OK	 
USER	Users	52	END	1545769077889	1545769097145
REQUEST	45		Search	1545769074386	1545769096714	OK	 
USER	Users	91	START	1545769097385	1545769097385
REQUEST	63		Search	1545769083385	1545769097857	OK	 
USER	Users	92	START	1545769097904	1545769097904
USER	Users	93	START	1545769098387	1545769098387
REQUEST	48		Search	1545769080219	1545769098354	OK	 
REQUEST	71		Search	1545769087386	1545769098673	OK	 
USER	Users	48	END	1545769075876	1545769098839
REQUEST	69		Search	1545769086387	1545769098672	OK	 
USER	Users	94	START	1545769098884	1545769098884
REQUEST	58		Search	1545769093658	1545769098674	OK	 
USER	Users	58	END	1545769080885	1545769098901
REQUEST	70		Search	1545769086887	1545769098839	OK	 
USER	Users	95	START	1545769099384	1545769099384
REQUEST	37		Search	1545769082520	1545769099500	OK	 
USER	Users	37	END	1545769070385	1545769099555
USER	Users	96	START	1545769099885	1545769099885
REQUEST	82		Search	1545769092888	1545769099498	OK	 
REQUEST	74		Search	1545769088885	1545769099560	OK	 
USER	Users	97	START	1545769100458	1545769100458
USER	Users	98	START	1545769100879	1545769100879
REQUEST	86		Search	1545769094892	1545769101243	OK	 
USER	Users	99	START	1545769101375	1545769101375
USER	Users	100	START	1545769101887	1545769101887
REQUEST	78		Search	1545769090886	1545769101892	OK	 
REQUEST	87		Search	1545769095494	1545769101970	OK	 
REQUEST	69		Search	1545769098861	1545769102206	OK	 
USER	Users	69	END	1545769086387	1545769102210
REQUEST	45		Search	1545769097234	1545769102211	OK	 
USER	Users	45	END	1545769074385	1545769102214
REQUEST	70		Search	1545769098913	1545769102221	OK	 
USER	Users	70	END	1545769086886	1545769102235
REQUEST	91		Search	1545769097386	1545769102287	OK	 
REQUEST	76		Search	1545769096396	1545769101939	OK	 
USER	Users	76	END	1545769089886	1545769102364
USER	Users	101	START	1545769102384	1545769102384
REQUEST	88		Search	1545769095876	1545769101899	OK	 
REQUEST	81		Search	1545769092387	1545769102455	OK	 
USER	Users	102	START	1545769102929	1545769102929
REQUEST	85		Search	1545769094388	1545769103258	OK	 
REQUEST	65		Search	1545769096332	1545769103342	OK	 
USER	Users	103	START	1545769103394	1545769103394
USER	Users	65	END	1545769084385	1545769103391
REQUEST	93		Search	1545769098389	1545769103469	OK	 
USER	Users	104	START	1545769103875	1545769103875
REQUEST	42		Search	1545769076886	1545769103314	OK	 
USER	Users	42	END	1545769072884	1545769103959
USER	Users	105	START	1545769104375	1545769104375
REQUEST	81		Search	1545769102563	1545769104538	OK	 
USER	Users	81	END	1545769092386	1545769104563
USER	Users	106	START	1545769104885	1545769104885
REQUEST	86		Search	1545769101263	1545769107770	OK	 
REQUEST	106		Search	1545769104886	1545769107769	OK	 
REQUEST	85		Search	1545769103290	1545769107770	OK	 
USER	Users	107	START	1545769107773	1545769107773
USER	Users	86	END	1545769094885	1545769107773
USER	Users	85	END	1545769094386	1545769107774
REQUEST	87		Search	1545769101986	1545769107772	OK	 
USER	Users	108	START	1545769107775	1545769107775
REQUEST	100		Search	1545769101892	1545769107772	OK	 
USER	Users	109	START	1545769107775	1545769107775
USER	Users	110	START	1545769107777	1545769107777
USER	Users	111	START	1545769107777	1545769107777
USER	Users	87	END	1545769095489	1545769107776
REQUEST	15		Search	1545769059657	1545769101729	OK	 
USER	Users	15	END	1545769059554	1545769107820
REQUEST	79		Search	1545769096371	1545769107820	OK	 
USER	Users	79	END	1545769091385	1545769107828
REQUEST	63		Search	1545769097864	1545769107828	OK	 
USER	Users	63	END	1545769083384	1545769107829
REQUEST	95		Search	1545769099385	1545769107831	OK	 
USER	Users	112	START	1545769107875	1545769107875
REQUEST	3		Search	1545769053407	1545769095249	OK	 
REQUEST	67		Search	1545769085385	1545769107938	OK	 
USER	Users	113	START	1545769108377	1545769108377
USER	Users	114	START	1545769108885	1545769108885
USER	Users	115	START	1545769109385	1545769109385
USER	Users	116	START	1545769109886	1545769109886
USER	Users	117	START	1545769110386	1545769110386
USER	Users	118	START	1545769110887	1545769110887
USER	Users	119	START	1545769111386	1545769111386
USER	Users	120	START	1545769111885	1545769111885
USER	Users	121	START	1545769112385	1545769112385
USER	Users	122	START	1545769113387	1545769113387
USER	Users	123	START	1545769114385	1545769114385
REQUEST	6		Search	1545769054886	1545769114894	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	91		Search	1545769102295	1545769115132	OK	 
USER	Users	91	END	1545769097385	1545769115211
REQUEST	94		Search	1545769098888	1545769115133	OK	 
USER	Users	124	START	1545769115388	1545769115388
REQUEST	103		Search	1545769103395	1545769115439	OK	 
REQUEST	57		Search	1545769095090	1545769115164	OK	 
USER	Users	57	END	1545769080385	1545769115627
REQUEST	8		Search	1545769055887	1545769115888	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	125	START	1545769116375	1545769116375
REQUEST	83		Search	1545769093386	1545769116221	OK	 
REQUEST	104		Search	1545769103875	1545769116887	OK	 
REQUEST	11		Search	1545769057387	1545769117393	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	3		Search	1545769107937	1545769117368	OK	 
USER	Users	3	END	1545769053405	1545769117502
USER	Users	126	START	1545769117376	1545769117376
REQUEST	84		Search	1545769096444	1545769116720	OK	 
USER	Users	84	END	1545769093897	1545769117712
USER	Users	127	START	1545769118571	1545769118571
REQUEST	102		Search	1545769102930	1545769118569	OK	 
REQUEST	109		Search	1545769107776	1545769118570	OK	 
REQUEST	99		Search	1545769101376	1545769118570	OK	 
REQUEST	122		Search	1545769113388	1545769118575	OK	 
REQUEST	106		Search	1545769107774	1545769118619	OK	 
USER	Users	106	END	1545769104885	1545769118621
REQUEST	13		Search	1545769058661	1545769118661	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	13	END	1545769058386	1545769118662
REQUEST	44		Search	1545769073888	1545769116879	OK	 
REQUEST	120		Search	1545769111885	1545769119070	OK	 
REQUEST	94		Search	1545769115221	1545769119110	OK	 
USER	Users	94	END	1545769098884	1545769119163
USER	Users	128	START	1545769119434	1545769119434
USER	Users	129	START	1545769120777	1545769120777
REQUEST	18		Search	1545769060887	1545769120892	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	29		Search	1545769067372	1545769119101	OK	 
USER	Users	29	END	1545769066384	1545769120972
USER	Users	130	START	1545769121385	1545769121385
USER	Users	131	START	1545769122384	1545769122384
REQUEST	21		Search	1545769062387	1545769122391	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	132	START	1545769122885	1545769122885
USER	Users	133	START	1545769123386	1545769123386
USER	Users	134	START	1545769124385	1545769124385
USER	Users	135	START	1545769125386	1545769125386
USER	Users	136	START	1545769126384	1545769126384
REQUEST	30		Search	1545769066887	1545769126890	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	137	START	1545769127385	1545769127385
REQUEST	31		Search	1545769067386	1545769127389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	138	START	1545769127904	1545769127904
REQUEST	104		Search	1545769116920	1545769128087	OK	 
USER	Users	104	END	1545769103875	1545769128117
REQUEST	33		Search	1545769068385	1545769128386	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	139	START	1545769128416	1545769128416
REQUEST	102		Search	1545769118599	1545769128376	OK	 
REQUEST	8		Search	1545769115902	1545769128671	OK	 
USER	Users	8	END	1545769055885	1545769128717
USER	Users	102	END	1545769102929	1545769128717
REQUEST	114		Search	1545769108886	1545769128762	OK	 
REQUEST	110		Search	1545769107777	1545769128515	OK	 
REQUEST	34		Search	1545769068887	1545769128902	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	83		Search	1545769116573	1545769129183	OK	 
USER	Users	83	END	1545769093385	1545769129192
REQUEST	124		Search	1545769115389	1545769128731	OK	 
REQUEST	75		Search	1545769089386	1545769127465	OK	 
USER	Users	140	START	1545769129415	1545769129415
REQUEST	11		Search	1545769117399	1545769129401	OK	 
USER	Users	11	END	1545769057385	1545769129432
REQUEST	35		Search	1545769069471	1545769129473	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	35	END	1545769069385	1545769129473
REQUEST	126		Search	1545769117504	1545769130321	OK	 
USER	Users	141	START	1545769130386	1545769130386
REQUEST	103		Search	1545769115453	1545769130077	OK	 
USER	Users	103	END	1545769103394	1545769130524
USER	Users	142	START	1545769130885	1545769130885
REQUEST	38		Search	1545769070892	1545769130892	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	111		Search	1545769107778	1545769130524	OK	 
REQUEST	123		Search	1545769114386	1545769130323	OK	 
REQUEST	108		Search	1545769107776	1545769130236	OK	 
USER	Users	143	START	1545769131384	1545769131384
REQUEST	135		Search	1545769125387	1545769131486	OK	 
REQUEST	117		Search	1545769110387	1545769131657	OK	 
REQUEST	133		Search	1545769123387	1545769131918	OK	 
REQUEST	136		Search	1545769126385	1545769132039	OK	 
REQUEST	137		Search	1545769127424	1545769132154	OK	 
USER	Users	144	START	1545769132384	1545769132384
REQUEST	41		Search	1545769072386	1545769132391	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	60		Search	1545769081878	1545769132162	OK	 
REQUEST	95		Search	1545769107838	1545769132497	OK	 
USER	Users	95	END	1545769099384	1545769132985
REQUEST	39		Search	1545769073023	1545769133027	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	39	END	1545769071385	1545769133028
USER	Users	145	START	1545769133374	1545769133374
REQUEST	114		Search	1545769128883	1545769133496	OK	 
USER	Users	114	END	1545769108885	1545769133523
REQUEST	127		Search	1545769118579	1545769133696	OK	 
USER	Users	146	START	1545769133885	1545769133885
REQUEST	129		Search	1545769120780	1545769134211	OK	 
REQUEST	99		Search	1545769118618	1545769134348	OK	 
USER	Users	99	END	1545769101375	1545769134375
USER	Users	147	START	1545769134388	1545769134388
REQUEST	124		Search	1545769129411	1545769134282	OK	 
USER	Users	124	END	1545769115388	1545769134417
REQUEST	140		Search	1545769129419	1545769134418	OK	 
REQUEST	46		Search	1545769074887	1545769134891	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	17		Search	1545769074969	1545769134973	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	17	END	1545769060375	1545769134978
USER	Users	148	START	1545769135376	1545769135376
REQUEST	47		Search	1545769075396	1545769135399	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	149	START	1545769136384	1545769136384
USER	Users	150	START	1545769136888	1545769136888
REQUEST	51		Search	1545769077377	1545769137381	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	151	START	1545769137385	1545769137385
USER	Users	152	START	1545769138385	1545769138385
REQUEST	53		Search	1545769078387	1545769138389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	20		Search	1545769078857	1545769138868	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	20	END	1545769061886	1545769138869
USER	Users	153	START	1545769138888	1545769138888
USER	Users	154	START	1545769139386	1545769139386
USER	Users	155	START	1545769140387	1545769140387
REQUEST	141		Search	1545769130392	1545769140715	OK	 
REQUEST	50		Search	1545769080835	1545769140891	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	50	END	1545769076875	1545769140892
USER	Users	156	START	1545769140891	1545769140891
USER	Users	157	START	1545769141384	1545769141384
REQUEST	59		Search	1545769081401	1545769141401	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	111		Search	1545769131347	1545769141838	OK	 
USER	Users	111	END	1545769107777	1545769141943
REQUEST	60		Search	1545769132975	1545769142353	OK	 
USER	Users	60	END	1545769081874	1545769142381
USER	Users	158	START	1545769142385	1545769142385
REQUEST	61		Search	1545769082376	1545769142410	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	159	START	1545769142896	1545769142896
REQUEST	62		Search	1545769082886	1545769142900	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	136		Search	1545769132044	1545769142967	OK	 
USER	Users	136	END	1545769126384	1545769143026
USER	Users	160	START	1545769143458	1545769143458
REQUEST	147		Search	1545769134391	1545769143537	OK	 
REQUEST	135		Search	1545769131493	1545769143517	OK	 
USER	Users	135	END	1545769125386	1545769143588
USER	Users	161	START	1545769144614	1545769144614
REQUEST	140		Search	1545769134441	1545769144627	OK	 
USER	Users	140	END	1545769129415	1545769144655
REQUEST	138		Search	1545769127925	1545769143878	OK	 
REQUEST	89		Search	1545769096377	1545769140960	OK	 
REQUEST	101		Search	1545769102387	1545769142964	OK	 
USER	Users	162	START	1545769144875	1545769144875
REQUEST	66		Search	1545769084886	1545769144886	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	67		Search	1545769107939	1545769143955	OK	 
USER	Users	67	END	1545769085384	1545769144904
REQUEST	100		Search	1545769107776	1545769144623	OK	 
USER	Users	100	END	1545769101887	1545769144951
USER	Users	163	START	1545769145413	1545769145413
REQUEST	68		Search	1545769085888	1545769145892	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	51		Search	1545769137382	1545769146291	OK	 
USER	Users	51	END	1545769077375	1545769146298
REQUEST	155		Search	1545769140387	1545769146304	OK	 
REQUEST	149		Search	1545769136385	1545769146348	OK	 
USER	Users	164	START	1545769146379	1545769146379
REQUEST	145		Search	1545769133376	1545769146494	OK	 
USER	Users	165	START	1545769146875	1545769146875
REQUEST	129		Search	1545769134216	1545769147113	OK	 
USER	Users	129	END	1545769120777	1545769147133
REQUEST	72		Search	1545769087887	1545769146219	OK	 
USER	Users	166	START	1545769147374	1545769147374
REQUEST	151		Search	1545769137386	1545769147489	OK	 
REQUEST	153		Search	1545769138888	1545769147513	OK	 
REQUEST	120		Search	1545769119092	1545769147791	OK	 
USER	Users	120	END	1545769111885	1545769147986
USER	Users	167	START	1545769148374	1545769148374
REQUEST	80		Search	1545769096370	1545769147562	OK	 
USER	Users	80	END	1545769091884	1545769148554
USER	Users	168	START	1545769148885	1545769148885
USER	Users	169	START	1545769149385	1545769149385
USER	Users	170	START	1545769149885	1545769149885
USER	Users	171	START	1545769150386	1545769150386
REQUEST	77		Search	1545769090386	1545769150389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	172	START	1545769151385	1545769151385
USER	Users	173	START	1545769151885	1545769151885
USER	Users	174	START	1545769152385	1545769152385
USER	Users	175	START	1545769152886	1545769152886
USER	Users	176	START	1545769153387	1545769153387
USER	Users	177	START	1545769154385	1545769154385
REQUEST	62		Search	1545769142997	1545769154589	OK	 
USER	Users	62	END	1545769082885	1545769154598
REQUEST	59		Search	1545769141403	1545769154597	OK	 
USER	Users	59	END	1545769081397	1545769154613
USER	Users	178	START	1545769154892	1545769154892
REQUEST	146		Search	1545769133885	1545769155136	OK	 
REQUEST	126		Search	1545769130389	1545769154829	OK	 
USER	Users	126	END	1545769117376	1545769155351
USER	Users	179	START	1545769155384	1545769155384
REQUEST	137		Search	1545769132155	1545769154821	OK	 
USER	Users	137	END	1545769127385	1545769155505
USER	Users	180	START	1545769155885	1545769155885
REQUEST	64		Search	1545769095948	1545769155954	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	64	END	1545769083887	1545769155963
USER	Users	181	START	1545769156385	1545769156385
REQUEST	73		Search	1545769096518	1545769156525	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	73	END	1545769088385	1545769156570
REQUEST	90		Search	1545769097057	1545769157060	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	182	START	1545769158290	1545769158290
USER	Users	183	START	1545769158290	1545769158290
REQUEST	92		Search	1545769097906	1545769158290	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	184	START	1545769158375	1545769158375
REQUEST	133		Search	1545769131943	1545769157112	OK	 
USER	Users	133	END	1545769123386	1545769158382
USER	Users	185	START	1545769158876	1545769158876
REQUEST	66		Search	1545769144887	1545769158998	OK	 
USER	Users	66	END	1545769084885	1545769159043
USER	Users	186	START	1545769159395	1545769159395
REQUEST	71		Search	1545769098686	1545769158290	OK	 
USER	Users	71	END	1545769087385	1545769159676
REQUEST	122		Search	1545769118620	1545769158475	OK	 
USER	Users	122	END	1545769113387	1545769159774
USER	Users	187	START	1545769159877	1545769159877
REQUEST	96		Search	1545769099887	1545769159892	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	82		Search	1545769099915	1545769159920	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	82	END	1545769092886	1545769159921
