RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818512781	 	3.0.1
REQUEST	40		Search	1545818521643	1545818521886	OK	 
REQUEST	43		Search	1545818521542	1545818521878	OK	 
REQUEST	42		Search	1545818521673	1545818521900	OK	 
REQUEST	40		Search	1545818521888	1545818521926	OK	 
REQUEST	41		Search	1545818521849	1545818521928	OK	 
REQUEST	42		Search	1545818521907	1545818521945	OK	 
USER	Users	46	START	1545818521972	1545818521972
REQUEST	36		Search	1545818521823	1545818521979	OK	 
USER	Users	36	END	1545818520543	1545818521983
REQUEST	40		Search	1545818521928	1545818521995	OK	 
USER	Users	40	END	1545818521112	1545818521998
REQUEST	42		Search	1545818521947	1545818522008	OK	 
REQUEST	46		Search	1545818521973	1545818522011	OK	 
REQUEST	44		Search	1545818521784	1545818522040	OK	 
REQUEST	45		Search	1545818521823	1545818522050	OK	 
REQUEST	41		Search	1545818521933	1545818522079	OK	 
REQUEST	44		Search	1545818522046	1545818522096	OK	 
USER	Users	47	START	1545818522112	1545818522112
REQUEST	42		Search	1545818522010	1545818522159	OK	 
USER	Users	42	END	1545818521402	1545818522162
REQUEST	41		Search	1545818522081	1545818522188	OK	 
REQUEST	46		Search	1545818522013	1545818522201	OK	 
REQUEST	47		Search	1545818522113	1545818522247	OK	 
USER	Users	48	START	1545818522252	1545818522252
REQUEST	41		Search	1545818522194	1545818522268	OK	 
USER	Users	41	END	1545818521254	1545818522270
REQUEST	45		Search	1545818522051	1545818522268	OK	 
REQUEST	44		Search	1545818522098	1545818522288	OK	 
REQUEST	48		Search	1545818522252	1545818522318	OK	 
REQUEST	46		Search	1545818522207	1545818522340	OK	 
REQUEST	45		Search	1545818522276	1545818522344	OK	 
REQUEST	44		Search	1545818522290	1545818522345	OK	 
USER	Users	44	END	1545818521682	1545818522349
USER	Users	49	START	1545818522402	1545818522402
USER	Users	50	START	1545818522542	1545818522542
REQUEST	45		Search	1545818522347	1545818522546	OK	 
REQUEST	48		Search	1545818522321	1545818522549	OK	 
REQUEST	45		Search	1545818522548	1545818522612	OK	 
USER	Users	45	END	1545818521822	1545818522615
REQUEST	46		Search	1545818522346	1545818522626	OK	 
REQUEST	43		Search	1545818521900	1545818522531	OK	 
REQUEST	49		Search	1545818522403	1545818522633	OK	 
REQUEST	47		Search	1545818522249	1545818522644	OK	 
USER	Users	51	START	1545818522683	1545818522683
REQUEST	46		Search	1545818522633	1545818522701	OK	 
USER	Users	46	END	1545818521972	1545818522712
REQUEST	51		Search	1545818522684	1545818522713	OK	 
REQUEST	47		Search	1545818522651	1545818522713	OK	 
REQUEST	48		Search	1545818522551	1545818522714	OK	 
REQUEST	50		Search	1545818522543	1545818522713	OK	 
REQUEST	47		Search	1545818522716	1545818522741	OK	 
REQUEST	48		Search	1545818522716	1545818522761	OK	 
REQUEST	38		Search	1545818521682	1545818522532	OK	 
REQUEST	47		Search	1545818522743	1545818522765	OK	 
USER	Users	47	END	1545818522112	1545818522767
REQUEST	49		Search	1545818522647	1545818522805	OK	 
REQUEST	43		Search	1545818522646	1545818522814	OK	 
USER	Users	52	START	1545818522822	1545818522822
REQUEST	51		Search	1545818522714	1545818522839	OK	 
REQUEST	52		Search	1545818522823	1545818522853	OK	 
REQUEST	51		Search	1545818522842	1545818522862	OK	 
REQUEST	52		Search	1545818522854	1545818522907	OK	 
REQUEST	38		Search	1545818522766	1545818522920	OK	 
USER	Users	38	END	1545818520824	1545818522922
REQUEST	43		Search	1545818522818	1545818522926	OK	 
REQUEST	49		Search	1545818522807	1545818522933	OK	 
REQUEST	50		Search	1545818522716	1545818522936	OK	 
REQUEST	51		Search	1545818522864	1545818522944	OK	 
REQUEST	51		Search	1545818522947	1545818522968	OK	 
USER	Users	51	END	1545818522683	1545818522971
USER	Users	53	START	1545818522971	1545818522971
REQUEST	50		Search	1545818522940	1545818522991	OK	 
REQUEST	52		Search	1545818522909	1545818522996	OK	 
REQUEST	48		Search	1545818522762	1545818523054	OK	 
USER	Users	48	END	1545818522252	1545818523061
REQUEST	43		Search	1545818522931	1545818523074	OK	 
USER	Users	43	END	1545818521541	1545818523076
REQUEST	52		Search	1545818522997	1545818523093	OK	 
REQUEST	49		Search	1545818522934	1545818523094	OK	 
REQUEST	50		Search	1545818522996	1545818523097	OK	 
USER	Users	54	START	1545818523112	1545818523112
REQUEST	54		Search	1545818523113	1545818523180	OK	 
REQUEST	50		Search	1545818523100	1545818523183	OK	 
USER	Users	50	END	1545818522542	1545818523185
REQUEST	53		Search	1545818522972	1545818523164	OK	 
REQUEST	52		Search	1545818523095	1545818523198	OK	 
USER	Users	52	END	1545818522822	1545818523200
USER	Users	55	START	1545818523252	1545818523252
REQUEST	54		Search	1545818523182	1545818523246	OK	 
REQUEST	49		Search	1545818523099	1545818523251	OK	 
USER	Users	49	END	1545818522402	1545818523261
REQUEST	53		Search	1545818523199	1545818523281	OK	 
REQUEST	55		Search	1545818523252	1545818523345	OK	 
USER	Users	56	START	1545818523393	1545818523393
REQUEST	55		Search	1545818523347	1545818523406	OK	 
REQUEST	56		Search	1545818523394	1545818523428	OK	 
REQUEST	54		Search	1545818523253	1545818523430	OK	 
REQUEST	53		Search	1545818523285	1545818523430	OK	 
REQUEST	55		Search	1545818523408	1545818523472	OK	 
REQUEST	56		Search	1545818523430	1545818523506	OK	 
REQUEST	53		Search	1545818523463	1545818523510	OK	 
REQUEST	54		Search	1545818523440	1545818523505	OK	 
REQUEST	55		Search	1545818523474	1545818523523	OK	 
USER	Users	57	START	1545818523544	1545818523544
REQUEST	54		Search	1545818523517	1545818523550	OK	 
USER	Users	54	END	1545818523112	1545818523552
