RUN	SolrQueryTraffic	solrquerytraffic	1545814722929	 	3.0.1
USER	Users	29	START	1545814780982	1545814780982
USER	Users	30	START	1545814781483	1545814781483
USER	Users	31	START	1545814781982	1545814781982
REQUEST	31		Search	1545814781984	1545814782147	OK	 
USER	Users	32	START	1545814782982	1545814782982
USER	Users	33	START	1545814783482	1545814783482
USER	Users	34	START	1545814783983	1545814783983
REQUEST	33		Search	1545814783489	1545814783994	OK	 
REQUEST	33		Search	1545814784004	1545814784095	OK	 
USER	Users	33	END	1545814783482	1545814784104
REQUEST	34		Search	1545814783986	1545814784764	OK	 
USER	Users	35	START	1545814784985	1545814784985
REQUEST	30		Search	1545814781484	1545814785167	OK	 
USER	Users	36	START	1545814785482	1545814785482
REQUEST	30		Search	1545814785336	1545814785650	OK	 
USER	Users	30	END	1545814781483	1545814785659
USER	Users	37	START	1545814785982	1545814785982
REQUEST	24		Search	1545814776983	1545814783732	OK	 
REQUEST	29		Search	1545814780984	1545814785847	OK	 
USER	Users	38	START	1545814786982	1545814786982
REQUEST	24		Search	1545814786331	1545814787364	OK	 
USER	Users	24	END	1545814776982	1545814787369
USER	Users	39	START	1545814787482	1545814787482
REQUEST	29		Search	1545814786394	1545814787530	OK	 
USER	Users	29	END	1545814780982	1545814787547
USER	Users	40	START	1545814787982	1545814787982
REQUEST	40		Search	1545814787983	1545814788409	OK	 
USER	Users	41	START	1545814789558	1545814789558
USER	Users	42	START	1545814789559	1545814789559
REQUEST	6		Search	1545814777145	1545814787084	OK	 
USER	Users	6	END	1545814761982	1545814789782
REQUEST	38		Search	1545814786984	1545814789783	OK	 
USER	Users	43	START	1545814789982	1545814789982
REQUEST	40		Search	1545814788446	1545814790191	OK	 
USER	Users	40	END	1545814787982	1545814790249
REQUEST	42		Search	1545814789561	1545814790282	OK	 
REQUEST	41		Search	1545814789561	1545814790353	OK	 
USER	Users	44	START	1545814790982	1545814790982
USER	Users	45	START	1545814791482	1545814791482
USER	Users	46	START	1545814791982	1545814791982
REQUEST	42		Search	1545814790287	1545814792029	OK	 
USER	Users	42	END	1545814789559	1545814792114
USER	Users	47	START	1545814792982	1545814792982
USER	Users	48	START	1545814793482	1545814793482
USER	Users	49	START	1545814793983	1545814793983
USER	Users	50	START	1545814794483	1545814794483
USER	Users	51	START	1545814794982	1545814794982
REQUEST	21		Search	1545814776931	1545814789809	OK	 
USER	Users	21	END	1545814775905	1545814795526
REQUEST	39		Search	1545814787484	1545814794292	OK	 
USER	Users	52	START	1545814795983	1545814795983
USER	Users	53	START	1545814796491	1545814796491
REQUEST	50		Search	1545814794484	1545814796747	OK	 
USER	Users	54	START	1545814796982	1545814796982
REQUEST	50		Search	1545814796755	1545814797378	OK	 
USER	Users	50	END	1545814794483	1545814797417
USER	Users	55	START	1545814797484	1545814797484
REQUEST	53		Search	1545814796497	1545814797509	OK	 
USER	Users	56	START	1545814797982	1545814797982
REQUEST	39		Search	1545814795728	1545814798038	OK	 
USER	Users	39	END	1545814787482	1545814798097
REQUEST	55		Search	1545814797485	1545814798609	OK	 
USER	Users	57	START	1545814798982	1545814798982
REQUEST	55		Search	1545814798630	1545814799258	OK	 
USER	Users	55	END	1545814797484	1545814799259
USER	Users	58	START	1545814799482	1545814799482
REQUEST	56		Search	1545814797991	1545814799657	OK	 
USER	Users	59	START	1545814799982	1545814799982
REQUEST	37		Search	1545814785983	1545814798489	OK	 
REQUEST	53		Search	1545814797515	1545814800087	OK	 
USER	Users	53	END	1545814796491	1545814800144
REQUEST	46		Search	1545814791983	1545814797159	OK	 
REQUEST	44		Search	1545814790983	1545814797302	OK	 
REQUEST	45		Search	1545814791483	1545814797294	OK	 
USER	Users	60	START	1545814800483	1545814800483
USER	Users	61	START	1545814800983	1545814800983
REQUEST	41		Search	1545814790365	1545814798907	OK	 
USER	Users	41	END	1545814789558	1545814801276
USER	Users	62	START	1545814801983	1545814801983
USER	Users	63	START	1545814802472	1545814802472
USER	Users	64	START	1545814802982	1545814802982
USER	Users	65	START	1545814803482	1545814803482
REQUEST	45		Search	1545814800485	1545814803863	OK	 
USER	Users	45	END	1545814791482	1545814803920
USER	Users	66	START	1545814807026	1545814807026
USER	Users	67	START	1545814807026	1545814807026
USER	Users	68	START	1545814807027	1545814807027
USER	Users	69	START	1545814807028	1545814807028
USER	Users	70	START	1545814807028	1545814807028
USER	Users	71	START	1545814807029	1545814807029
REQUEST	46		Search	1545814800172	1545814807026	OK	 
USER	Users	46	END	1545814791982	1545814807039
REQUEST	60		Search	1545814800486	1545814807026	OK	 
REQUEST	63		Search	1545814802479	1545814807026	OK	 
USER	Users	72	START	1545814807483	1545814807483
REQUEST	48		Search	1545814793485	1545814802095	OK	 
USER	Users	73	START	1545814807982	1545814807982
USER	Users	74	START	1545814808482	1545814808482
USER	Users	75	START	1545814808982	1545814808982
REQUEST	62		Search	1545814801992	1545814808175	OK	 
REQUEST	57		Search	1545814798984	1545814808177	OK	 
USER	Users	76	START	1545814809482	1545814809482
REQUEST	57		Search	1545814809151	1545814809653	OK	 
USER	Users	57	END	1545814798982	1545814809742
USER	Users	77	START	1545814809982	1545814809982
REQUEST	75		Search	1545814808984	1545814810065	OK	 
REQUEST	63		Search	1545814807133	1545814810287	OK	 
REQUEST	70		Search	1545814807030	1545814810282	OK	 
USER	Users	63	END	1545814802472	1545814810293
USER	Users	78	START	1545814810482	1545814810482
REQUEST	69		Search	1545814807028	1545814810602	OK	 
REQUEST	62		Search	1545814809119	1545814810881	OK	 
USER	Users	62	END	1545814801983	1545814810889
USER	Users	79	START	1545814810982	1545814810982
REQUEST	73		Search	1545814807983	1545814810988	OK	 
USER	Users	80	START	1545814811482	1545814811482
USER	Users	81	START	1545814811982	1545814811982
USER	Users	82	START	1545814812482	1545814812482
USER	Users	83	START	1545814812982	1545814812982
REQUEST	77		Search	1545814809984	1545814812961	OK	 
USER	Users	84	START	1545814813482	1545814813482
USER	Users	85	START	1545814813982	1545814813982
REQUEST	26		Search	1545814779104	1545814803863	OK	 
USER	Users	86	START	1545814814484	1545814814484
USER	Users	87	START	1545814814984	1545814814984
USER	Users	88	START	1545814815482	1545814815482
REQUEST	81		Search	1545814811983	1545814815563	OK	 
USER	Users	89	START	1545814815983	1545814815983
REQUEST	75		Search	1545814810100	1545814815007	OK	 
USER	Users	75	END	1545814808982	1545814816005
USER	Users	90	START	1545814816483	1545814816483
REQUEST	81		Search	1545814815612	1545814818742	OK	 
USER	Users	81	END	1545814811982	1545814818797
REQUEST	77		Search	1545814813314	1545814819035	OK	 
USER	Users	77	END	1545814809982	1545814819062
REQUEST	78		Search	1545814810484	1545814819654	OK	 
REQUEST	28		Search	1545814780172	1545814814218	OK	 
USER	Users	28	END	1545814779982	1545814821059
REQUEST	89		Search	1545814815984	1545814821533	OK	 
REQUEST	85		Search	1545814813983	1545814821935	OK	 
REQUEST	90		Search	1545814816484	1545814822050	OK	 
REQUEST	78		Search	1545814820290	1545814823462	OK	 
USER	Users	78	END	1545814810482	1545814823487
REQUEST	83		Search	1545814812986	1545814825455	OK	 
REQUEST	38		Search	1545814789792	1545814825539	OK	 
USER	Users	38	END	1545814786982	1545814826399
REQUEST	60		Search	1545814807075	1545814827597	OK	 
USER	Users	60	END	1545814800483	1545814828651
REQUEST	66		Search	1545814807028	1545814827086	OK	 
REQUEST	31		Search	1545814782161	1545814821246	OK	 
USER	Users	31	END	1545814781982	1545814830558
REQUEST	66		Search	1545814828994	1545814840238	OK	 
USER	Users	66	END	1545814807026	1545814840252
REQUEST	25		Search	1545814779105	1545814839206	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	83		Search	1545814826081	1545814840859	OK	 
USER	Users	83	END	1545814812982	1545814840950
REQUEST	84		Search	1545814813483	1545814839461	OK	 
REQUEST	49		Search	1545814793985	1545814839272	OK	 
REQUEST	32		Search	1545814782983	1545814842987	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	76		Search	1545814809483	1545814839519	OK	 
REQUEST	25		Search	1545814840603	1545814843757	OK	 
USER	Users	25	END	1545814779103	1545814843766
REQUEST	84		Search	1545814842464	1545814844651	OK	 
USER	Users	84	END	1545814813482	1545814844689
REQUEST	34		Search	1545814784788	1545814844792	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	34	END	1545814783983	1545814844806
REQUEST	35		Search	1545814784988	1545814844989	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	36		Search	1545814785483	1545814845483	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	36		Search	1545814845485	1545814846591	OK	 
USER	Users	36	END	1545814785482	1545814846608
REQUEST	44		Search	1545814800380	1545814846168	OK	 
USER	Users	44	END	1545814790982	1545814847929
REQUEST	76		Search	1545814843251	1545814847929	OK	 
USER	Users	76	END	1545814809482	1545814847972
REQUEST	43		Search	1545814789987	1545814850004	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	54		Search	1545814796983	1545814846241	OK	 
REQUEST	67		Search	1545814807027	1545814849185	OK	 
REQUEST	47		Search	1545814792984	1545814852986	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	51		Search	1545814794983	1545814854991	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	52		Search	1545814795984	1545814855987	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	47		Search	1545814852988	1545814856177	OK	 
USER	Users	47	END	1545814792982	1545814856213
REQUEST	69		Search	1545814810631	1545814854635	OK	 
USER	Users	69	END	1545814807028	1545814858863
REQUEST	58		Search	1545814799488	1545814859495	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	56		Search	1545814799668	1545814859670	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	56	END	1545814797982	1545814859671
REQUEST	59		Search	1545814799983	1545814859984	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	37		Search	1545814800086	1545814860146	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	37	END	1545814785982	1545814860149
REQUEST	54		Search	1545814852031	1545814860818	OK	 
USER	Users	54	END	1545814796982	1545814860853
REQUEST	61		Search	1545814800984	1545814860986	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	58		Search	1545814859515	1545814862307	OK	 
USER	Users	58	END	1545814799482	1545814862313
REQUEST	65		Search	1545814803484	1545814863496	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	68		Search	1545814807028	1545814861811	OK	 
REQUEST	52		Search	1545814855992	1545814865359	OK	 
USER	Users	52	END	1545814795983	1545814865436
REQUEST	80		Search	1545814811489	1545814861432	OK	 
REQUEST	71		Search	1545814807030	1545814862873	OK	 
REQUEST	65		Search	1545814863498	1545814866469	OK	 
USER	Users	65	END	1545814803482	1545814866478
REQUEST	72		Search	1545814807484	1545814867485	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	80		Search	1545814865488	1545814867546	OK	 
USER	Users	80	END	1545814811482	1545814867931
REQUEST	64		Search	1545814802984	1545814867932	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	48		Search	1545814807839	1545814867940	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	48	END	1545814793482	1545814867941
REQUEST	68		Search	1545814865359	1545814867747	OK	 
USER	Users	68	END	1545814807027	1545814868004
REQUEST	49		Search	1545814842645	1545814867098	OK	 
USER	Users	49	END	1545814793983	1545814868233
REQUEST	70		Search	1545814810295	1545814870803	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	70	END	1545814807028	1545814870807
REQUEST	79		Search	1545814810984	1545814870985	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	73		Search	1545814810991	1545814870995	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	73	END	1545814807982	1545814870997
REQUEST	90		Search	1545814822301	1545814866608	OK	 
USER	Users	90	END	1545814816483	1545814871209
REQUEST	82		Search	1545814812483	1545814867330	OK	 
REQUEST	74		Search	1545814808486	1545814874032	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	26		Search	1545814814032	1545814874037	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	26	END	1545814779104	1545814874040
REQUEST	86		Search	1545814814486	1545814874489	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	87		Search	1545814814994	1545814875000	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	88		Search	1545814815486	1545814875497	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	87		Search	1545814875015	1545814878016	OK	 
USER	Users	87	END	1545814814984	1545814878115
REQUEST	88		Search	1545814875525	1545814879559	OK	 
USER	Users	88	END	1545814815482	1545814879594
REQUEST	89		Search	1545814821585	1545814881588	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	89	END	1545814815983	1545814881599
REQUEST	85		Search	1545814821992	1545814881996	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	85	END	1545814813982	1545814882000
REQUEST	86		Search	1545814874501	1545814890865	OK	 
USER	Users	86	END	1545814814484	1545814891238
REQUEST	74		Search	1545814874037	1545814896258	OK	 
USER	Users	74	END	1545814808482	1545814897493
REQUEST	32		Search	1545814842996	1545814896260	OK	 
USER	Users	32	END	1545814782982	1545814900197
REQUEST	43		Search	1545814850089	1545814901692	OK	 
USER	Users	43	END	1545814789982	1545814902456
REQUEST	35		Search	1545814844991	1545814904993	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	35	END	1545814784985	1545814904995
REQUEST	61		Search	1545814860990	1545814905706	OK	 
USER	Users	61	END	1545814800983	1545814907388
REQUEST	71		Search	1545814865634	1545814908017	OK	 
USER	Users	71	END	1545814807029	1545814913624
REQUEST	72		Search	1545814867557	1545814907344	OK	 
USER	Users	72	END	1545814807483	1545814913904
REQUEST	59		Search	1545814859985	1545814907401	OK	 
USER	Users	59	END	1545814799982	1545814914359
REQUEST	64		Search	1545814867940	1545814908396	OK	 
USER	Users	64	END	1545814802982	1545814914684
REQUEST	79		Search	1545814870987	1545814909478	OK	 
USER	Users	79	END	1545814810982	1545814920359
REQUEST	51		Search	1545814855028	1545814910183	OK	 
USER	Users	51	END	1545814794982	1545814923849
REQUEST	67		Search	1545814852368	1545814923849	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	67	END	1545814807026	1545814923919
REQUEST	82		Search	1545814873778	1545814914991	OK	 
USER	Users	82	END	1545814812482	1545814934345
